Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,97145618479.9038,97923302809.3537,112371913740.823,132216048339.413,145208562960.767,161871385506.36,184140869997.46,202203748583.854,187337783856.466,196709621849.586,230586581059.665,250106966104.704,258657231672.412,271390474857.632,299963590534.773,313630000130.435,339205534861.1,356128166704.921,320909472770.669,300425609817.981,348516647445.148,374890295666.694,336686348609.266,371570000121.266,..
Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.14826144590618,3.29034472613153,2.91413470059479,7.44462469342739,9.06332737030417,7.92108440058789,7.59868441050774,20.2861210929554,13.6477650639761,12.9388705634889,11.9160927116277,9.68235186055684,7.69215611899565,7.18938402847028,2.52932817254229,3.7651191635658,4.08537368032608,5.07805725868917,10.5780305672025,9.74011619320125,9.49641577285205,19.8738599646655,30.7681280657005,12.6325318530452,..
Pakistan,PAK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.6261723730627,11.2629668954049,12.1646439105383,11.422970350187,12.2518417522088,12.5489466265472,11.6250765592664,11.87581528062,12.3909882054304,12.6372245592948,13.4825548617217,11.8739641473238,12.1774992040696,11.1949717426146,9.97457095124036,8.73671639116568,8.22161134395559,8.58179960556073,9.3908635386027,9.29855944234725,9.05159988878188,10.5405902721041,10.4939587511564,10.3904527903644,..
Pakistan,PAK,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,12.9510350567841,11.8660490591242,12.4855146143016,13.3853645017194,17.6266523028659,20.5007727406812,19.1628048720082,22.4731455329041,20.9358990809684,19.3517774869368,18.8800834134221,19.4450091286838,18.7127751361147,18.2748539477852,16.7136150659843,15.9648616568916,17.2504236583884,19.044257474073,19.5147134481005,17.4177212905341,17.9788205237729,22.4907632059279,17.9737337958273,17.1880155617051,..
Pakistan,PAK,"Population, total",SP.POP.TOTL,159270907,163222549,167110248,171286000,175453212,179682690,184493231,189499113,194376534,199239047,203746065,207667125,211073978,214264647,217290883,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495,251269164,..
Pakistan,PAK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.1988471664032,33.3857078542752,33.5669209665019,33.7441369568158,33.9190062789495,34.0931793866356,34.2683067336065,34.4460387735948,34.6280259603331,34.8159187475539,35.0113675889897,35.2160229383731,35.4315352494366,35.6595549759128,35.9017325715342,36.1597184900333,36.4351548223399,36.7478511550359,37.1091631735769,37.5080192948099,37.9333395514173,38.3740439760816,38.8191861872791,39.1734368360905,..
Pakistan,PAK,Rural population (% of total population),SP.RUR.TOTL.ZS,66.8011528335968,66.6142921457248,66.4330790334981,66.2558630431842,66.0809937210505,65.9068206133644,65.7316932663935,65.5539612264052,65.3719740396669,65.1840812524461,64.9886324110103,64.7839770616269,64.5684647505634,64.3404450240872,64.0982674284658,63.8402815099667,63.5648451776601,63.2521488449641,62.8908368264231,62.4919807051901,62.0666604485827,61.6259560239184,61.1808138127209,60.8265631639095,..
Pakistan,PAK,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,35.3699989318848,39.6100006103516,38.4599990844727,40.0800018310547,40.310001373291,41.0200004577637,41.9799995422363,43.0699996948242,41.9700012207031,44.2799987792969,..,..,46.4700012207031,45.4000015258789,46.4900016784668,..,48.5200004577637,..,..,..,..
Pakistan,PAK,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,..,64.0599975585938,67.6500015258789,65,68.870002746582,68.629997253418,68.9000015258789,66.9899978637695,69.8600006103516,68.629997253418,69.0699996948242,..,..,71.120002746582,69.2799987792969,69.2900009155273,..,69.1399993896484,..,..,..,..
Pakistan,PAK,"School enrollment, primary (% gross)",SE.PRM.ENRR,62.63623046875,62.9242095947266,64.7272720336914,68.6156463623047,71.9533462524414,68.5336532592773,72.8158721923828,72.6429901123047,72.9343795776367,73.6427366739346,70.4406693319938,69.90386379122,68.8875716330274,72.1897974318755,71.7399191116414,75.7336415786478,74.497149935232,77.3862722679522,78.702552622727,..,80.3165790075685,78.9400248844352,81.3796346128751,83.726068200404,..
Pakistan,PAK,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,19.8385200500488,21.7634296417236,22.6038208007812,27.2463207244873,29.0634307861328,29.1768093109131,29.0589694976807,29.2962900661933,29.7271460529531,30.6300201416016,31.544819132504,32.6573427323505,34.6741466548496,35.8643246680809,35.3224248744451,37.1466063259079,38.7511552822907,..,40.2578898404389,40.4177656413012,42.2911451386891,48.2805022055997,..
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.241,62.556,62.834,63.097,62.416,63.624,63.807,64.002,64.206,64.378,64.659,64.883,65.129,65.374,65.641,65.943,66.223,66.481,66.729,65.701,65.773,67.417,67.649,67.799,..
Pakistan,PAK,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,86.6,84.7,83,81.4,80,78.6,77.3,75.9,74.4,72.8,71.1,69.3,67.4,65.5,63.6,61.7,59.8,58.1,56.3,54.6,53,51.3,49.7,48.2,..
Pakistan,PAK,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.5,0.49,0.48,0.48,0.47,0.46,0.46,0.44,0.43,0.42,0.43,0.45,0.47,0.47,0.46,0.49,0.5,0.5,0.5,0.63,..,..,..,..,..
Pakistan,PAK,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,20.4,21,20.2,18.3,16.9,15.7,15.1,15.1,15.4,15.5,15.4,15,14.7,14.2,13.3,11.5,11.7,10.9,12.9,13.4,16.4,16.7,16.5,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
